rec_id1,rec_id2
rec-1790-org,rec-1790-dup-0
rec-1790-org,rec-1790-dup-1
rec-1790-dup-0,rec-1790-dup-1
rec-1790-org,rec-1790-dup-2
rec-1790-dup-0,rec-1790-dup-2
rec-1790-dup-1,rec-1790-dup-2
rec-2786-org,rec-2786-dup-0
rec-2786-org,rec-2786-dup-1
rec-2786-dup-0,rec-2786-dup-1
rec-2786-org,rec-2786-dup-2
rec-2786-dup-0,rec-2786-dup-2
rec-2786-dup-1,rec-2786-dup-2
rec-6359-org,rec-6359-dup-0
rec-6860-org,rec-6860-dup-0
rec-2121-org,rec-2121-dup-0
rec-3509-org,rec-3509-dup-0
rec-1670-org,rec-1670-dup-0
rec-7674-org,rec-7674-dup-0
rec-7674-org,rec-7674-dup-1
rec-7674-dup-0,rec-7674-dup-1
rec-4795-org,rec-4795-dup-0
rec-4795-org,rec-4795-dup-1
rec-4795-dup-0,rec-4795-dup-1
rec-4795-org,rec-4795-dup-2
rec-4795-dup-0,rec-4795-dup-2
rec-4795-dup-1,rec-4795-dup-2
rec-5121-org,rec-5121-dup-0
rec-5872-org,rec-5872-dup-0
rec-5872-org,rec-5872-dup-1
rec-5872-dup-0,rec-5872-dup-1
rec-520-org,rec-520-dup-0
rec-520-org,rec-520-dup-1
rec-520-dup-0,rec-520-dup-1
rec-4214-org,rec-4214-dup-0
rec-6685-org,rec-6685-dup-0
rec-6685-org,rec-6685-dup-1
rec-6685-dup-0,rec-6685-dup-1
rec-6685-org,rec-6685-dup-2
rec-6685-dup-0,rec-6685-dup-2
rec-6685-dup-1,rec-6685-dup-2
rec-4242-org,rec-4242-dup-0
rec-4242-org,rec-4242-dup-1
rec-4242-dup-0,rec-4242-dup-1
rec-3883-org,rec-3883-dup-0
rec-3548-org,rec-3548-dup-0
rec-3348-org,rec-3348-dup-0
rec-5007-org,rec-5007-dup-0
rec-2854-org,rec-2854-dup-0
rec-2842-org,rec-2842-dup-0
rec-2842-org,rec-2842-dup-1
rec-2842-dup-0,rec-2842-dup-1
rec-3124-org,rec-3124-dup-0
rec-3124-org,rec-3124-dup-1
rec-3124-dup-0,rec-3124-dup-1
rec-998-org,rec-998-dup-0
rec-7034-org,rec-7034-dup-0
rec-7034-org,rec-7034-dup-1
rec-7034-dup-0,rec-7034-dup-1
rec-3821-org,rec-3821-dup-0
rec-3821-org,rec-3821-dup-1
rec-3821-dup-0,rec-3821-dup-1
rec-3821-org,rec-3821-dup-2
rec-3821-dup-0,rec-3821-dup-2
rec-3821-dup-1,rec-3821-dup-2
rec-3389-org,rec-3389-dup-0
rec-4539-org,rec-4539-dup-0
rec-4539-org,rec-4539-dup-1
rec-4539-dup-0,rec-4539-dup-1
rec-6906-org,rec-6906-dup-0
rec-6906-org,rec-6906-dup-1
rec-6906-dup-0,rec-6906-dup-1
rec-1056-org,rec-1056-dup-0
rec-1056-org,rec-1056-dup-1
rec-1056-dup-0,rec-1056-dup-1
rec-3139-org,rec-3139-dup-0
rec-3139-org,rec-3139-dup-1
rec-3139-dup-0,rec-3139-dup-1
rec-3139-org,rec-3139-dup-2
rec-3139-dup-0,rec-3139-dup-2
rec-3139-dup-1,rec-3139-dup-2
rec-960-org,rec-960-dup-0
rec-960-org,rec-960-dup-1
rec-960-dup-0,rec-960-dup-1
rec-960-org,rec-960-dup-2
rec-960-dup-0,rec-960-dup-2
rec-960-dup-1,rec-960-dup-2
rec-4318-org,rec-4318-dup-0
rec-4318-org,rec-4318-dup-1
rec-4318-dup-0,rec-4318-dup-1
rec-1343-org,rec-1343-dup-0
rec-1343-org,rec-1343-dup-1
rec-1343-dup-0,rec-1343-dup-1
rec-1343-org,rec-1343-dup-2
rec-1343-dup-0,rec-1343-dup-2
rec-1343-dup-1,rec-1343-dup-2
rec-6765-org,rec-6765-dup-0
rec-6765-org,rec-6765-dup-1
rec-6765-dup-0,rec-6765-dup-1
rec-8367-org,rec-8367-dup-0
rec-8367-org,rec-8367-dup-1
rec-8367-dup-0,rec-8367-dup-1
rec-5837-org,rec-5837-dup-0
rec-8116-org,rec-8116-dup-0
rec-8116-org,rec-8116-dup-1
rec-8116-dup-0,rec-8116-dup-1
rec-3561-org,rec-3561-dup-0
rec-5825-org,rec-5825-dup-0
rec-4454-org,rec-4454-dup-0
rec-4454-org,rec-4454-dup-1
rec-4454-dup-0,rec-4454-dup-1
rec-5932-org,rec-5932-dup-0
rec-3226-org,rec-3226-dup-0
rec-3801-org,rec-3801-dup-0
rec-3801-org,rec-3801-dup-1
rec-3801-dup-0,rec-3801-dup-1
rec-3335-org,rec-3335-dup-0
rec-7581-org,rec-7581-dup-0
rec-7581-org,rec-7581-dup-1
rec-7581-dup-0,rec-7581-dup-1
rec-2566-org,rec-2566-dup-0
rec-623-org,rec-623-dup-0
rec-623-org,rec-623-dup-1
rec-623-dup-0,rec-623-dup-1
rec-1630-org,rec-1630-dup-0
rec-1630-org,rec-1630-dup-1
rec-1630-dup-0,rec-1630-dup-1
rec-1630-org,rec-1630-dup-2
rec-1630-dup-0,rec-1630-dup-2
rec-1630-dup-1,rec-1630-dup-2
rec-1069-org,rec-1069-dup-0
rec-1069-org,rec-1069-dup-1
rec-1069-dup-0,rec-1069-dup-1
rec-775-org,rec-775-dup-0
rec-775-org,rec-775-dup-1
rec-775-dup-0,rec-775-dup-1
rec-4928-org,rec-4928-dup-0
rec-4928-org,rec-4928-dup-1
rec-4928-dup-0,rec-4928-dup-1
rec-89-org,rec-89-dup-0
rec-89-org,rec-89-dup-1
rec-89-dup-0,rec-89-dup-1
rec-89-org,rec-89-dup-2
rec-89-dup-0,rec-89-dup-2
rec-89-dup-1,rec-89-dup-2
rec-1650-org,rec-1650-dup-0
rec-1650-org,rec-1650-dup-1
rec-1650-dup-0,rec-1650-dup-1
rec-6046-org,rec-6046-dup-0
rec-6046-org,rec-6046-dup-1
rec-6046-dup-0,rec-6046-dup-1
rec-1298-org,rec-1298-dup-0
rec-1298-org,rec-1298-dup-1
rec-1298-dup-0,rec-1298-dup-1
rec-4927-org,rec-4927-dup-0
rec-4927-org,rec-4927-dup-1
rec-4927-dup-0,rec-4927-dup-1
rec-7856-org,rec-7856-dup-0
rec-7856-org,rec-7856-dup-1
rec-7856-dup-0,rec-7856-dup-1
rec-4725-org,rec-4725-dup-0
rec-4725-org,rec-4725-dup-1
rec-4725-dup-0,rec-4725-dup-1
rec-4725-org,rec-4725-dup-2
rec-4725-dup-0,rec-4725-dup-2
rec-4725-dup-1,rec-4725-dup-2
rec-5609-org,rec-5609-dup-0
rec-5609-org,rec-5609-dup-1
rec-5609-dup-0,rec-5609-dup-1
rec-5609-org,rec-5609-dup-2
rec-5609-dup-0,rec-5609-dup-2
rec-5609-dup-1,rec-5609-dup-2
rec-1128-org,rec-1128-dup-0
rec-1128-org,rec-1128-dup-1
rec-1128-dup-0,rec-1128-dup-1
rec-5218-org,rec-5218-dup-0
rec-5218-org,rec-5218-dup-1
rec-5218-dup-0,rec-5218-dup-1
rec-360-org,rec-360-dup-0
rec-360-org,rec-360-dup-1
rec-360-dup-0,rec-360-dup-1
rec-3208-org,rec-3208-dup-0
rec-3208-org,rec-3208-dup-1
rec-3208-dup-0,rec-3208-dup-1
rec-3208-org,rec-3208-dup-2
rec-3208-dup-0,rec-3208-dup-2
rec-3208-dup-1,rec-3208-dup-2
rec-444-org,rec-444-dup-0
rec-444-org,rec-444-dup-1
rec-444-dup-0,rec-444-dup-1
rec-6315-org,rec-6315-dup-0
rec-6315-org,rec-6315-dup-1
rec-6315-dup-0,rec-6315-dup-1
rec-2422-org,rec-2422-dup-0
rec-4205-org,rec-4205-dup-0
rec-4205-org,rec-4205-dup-1
rec-4205-dup-0,rec-4205-dup-1
rec-4205-org,rec-4205-dup-2
rec-4205-dup-0,rec-4205-dup-2
rec-4205-dup-1,rec-4205-dup-2
rec-6195-org,rec-6195-dup-0
rec-7979-org,rec-7979-dup-0
rec-7979-org,rec-7979-dup-1
rec-7979-dup-0,rec-7979-dup-1
rec-4523-org,rec-4523-dup-0
rec-4523-org,rec-4523-dup-1
rec-4523-dup-0,rec-4523-dup-1
rec-7027-org,rec-7027-dup-0
rec-7027-org,rec-7027-dup-1
rec-7027-dup-0,rec-7027-dup-1
rec-7027-org,rec-7027-dup-2
rec-7027-dup-0,rec-7027-dup-2
rec-7027-dup-1,rec-7027-dup-2
rec-6305-org,rec-6305-dup-0
rec-6305-org,rec-6305-dup-1
rec-6305-dup-0,rec-6305-dup-1
rec-6339-org,rec-6339-dup-0
rec-6339-org,rec-6339-dup-1
rec-6339-dup-0,rec-6339-dup-1
rec-3309-org,rec-3309-dup-0
rec-576-org,rec-576-dup-0
rec-576-org,rec-576-dup-1
rec-576-dup-0,rec-576-dup-1
rec-2310-org,rec-2310-dup-0
rec-2310-org,rec-2310-dup-1
rec-2310-dup-0,rec-2310-dup-1
rec-6678-org,rec-6678-dup-0
rec-6678-org,rec-6678-dup-1
rec-6678-dup-0,rec-6678-dup-1
rec-6678-org,rec-6678-dup-2
rec-6678-dup-0,rec-6678-dup-2
rec-6678-dup-1,rec-6678-dup-2
rec-2031-org,rec-2031-dup-0
rec-2357-org,rec-2357-dup-0
rec-2357-org,rec-2357-dup-1
rec-2357-dup-0,rec-2357-dup-1
rec-3588-org,rec-3588-dup-0
rec-5403-org,rec-5403-dup-0
rec-5403-org,rec-5403-dup-1
rec-5403-dup-0,rec-5403-dup-1
rec-913-org,rec-913-dup-0
rec-3736-org,rec-3736-dup-0
rec-3736-org,rec-3736-dup-1
rec-3736-dup-0,rec-3736-dup-1
rec-751-org,rec-751-dup-0
rec-751-org,rec-751-dup-1
rec-751-dup-0,rec-751-dup-1
rec-6329-org,rec-6329-dup-0
rec-4933-org,rec-4933-dup-0
rec-4933-org,rec-4933-dup-1
rec-4933-dup-0,rec-4933-dup-1
rec-1060-org,rec-1060-dup-0
rec-1060-org,rec-1060-dup-1
rec-1060-dup-0,rec-1060-dup-1
rec-4394-org,rec-4394-dup-0
rec-4394-org,rec-4394-dup-1
rec-4394-dup-0,rec-4394-dup-1
rec-4394-org,rec-4394-dup-2
rec-4394-dup-0,rec-4394-dup-2
rec-4394-dup-1,rec-4394-dup-2
rec-2948-org,rec-2948-dup-0
rec-2948-org,rec-2948-dup-1
rec-2948-dup-0,rec-2948-dup-1
rec-2768-org,rec-2768-dup-0
rec-2768-org,rec-2768-dup-1
rec-2768-dup-0,rec-2768-dup-1
rec-2141-org,rec-2141-dup-0
rec-4296-org,rec-4296-dup-0
rec-4296-org,rec-4296-dup-1
rec-4296-dup-0,rec-4296-dup-1
rec-4296-org,rec-4296-dup-2
rec-4296-dup-0,rec-4296-dup-2
rec-4296-dup-1,rec-4296-dup-2
rec-6758-org,rec-6758-dup-0
rec-6758-org,rec-6758-dup-1
rec-6758-dup-0,rec-6758-dup-1
rec-6758-org,rec-6758-dup-2
rec-6758-dup-0,rec-6758-dup-2
rec-6758-dup-1,rec-6758-dup-2
rec-4695-org,rec-4695-dup-0
rec-4695-org,rec-4695-dup-1
rec-4695-dup-0,rec-4695-dup-1
rec-4695-org,rec-4695-dup-2
rec-4695-dup-0,rec-4695-dup-2
rec-4695-dup-1,rec-4695-dup-2
rec-7135-org,rec-7135-dup-0
rec-3708-org,rec-3708-dup-0
rec-3708-org,rec-3708-dup-1
rec-3708-dup-0,rec-3708-dup-1
rec-2326-org,rec-2326-dup-0
rec-2326-org,rec-2326-dup-1
rec-2326-dup-0,rec-2326-dup-1
rec-1491-org,rec-1491-dup-0
rec-1491-org,rec-1491-dup-1
rec-1491-dup-0,rec-1491-dup-1
rec-1491-org,rec-1491-dup-2
rec-1491-dup-0,rec-1491-dup-2
rec-1491-dup-1,rec-1491-dup-2
rec-7606-org,rec-7606-dup-0
rec-5307-org,rec-5307-dup-0
rec-5307-org,rec-5307-dup-1
rec-5307-dup-0,rec-5307-dup-1
rec-5307-org,rec-5307-dup-2
rec-5307-dup-0,rec-5307-dup-2
rec-5307-dup-1,rec-5307-dup-2
rec-6839-org,rec-6839-dup-0
rec-4962-org,rec-4962-dup-0
rec-4962-org,rec-4962-dup-1
rec-4962-dup-0,rec-4962-dup-1
rec-919-org,rec-919-dup-0
rec-919-org,rec-919-dup-1
rec-919-dup-0,rec-919-dup-1
rec-3611-org,rec-3611-dup-0
rec-3611-org,rec-3611-dup-1
rec-3611-dup-0,rec-3611-dup-1
rec-2313-org,rec-2313-dup-0
rec-6946-org,rec-6946-dup-0
rec-6543-org,rec-6543-dup-0
rec-6543-org,rec-6543-dup-1
rec-6543-dup-0,rec-6543-dup-1
rec-6543-org,rec-6543-dup-2
rec-6543-dup-0,rec-6543-dup-2
rec-6543-dup-1,rec-6543-dup-2
rec-2765-org,rec-2765-dup-0
rec-2765-org,rec-2765-dup-1
rec-2765-dup-0,rec-2765-dup-1
rec-2765-org,rec-2765-dup-2
rec-2765-dup-0,rec-2765-dup-2
rec-2765-dup-1,rec-2765-dup-2
rec-1474-org,rec-1474-dup-0
rec-1474-org,rec-1474-dup-1
rec-1474-dup-0,rec-1474-dup-1
rec-1474-org,rec-1474-dup-2
rec-1474-dup-0,rec-1474-dup-2
rec-1474-dup-1,rec-1474-dup-2
rec-2246-org,rec-2246-dup-0
rec-2246-org,rec-2246-dup-1
rec-2246-dup-0,rec-2246-dup-1
rec-2246-org,rec-2246-dup-2
rec-2246-dup-0,rec-2246-dup-2
rec-2246-dup-1,rec-2246-dup-2
rec-8270-org,rec-8270-dup-0
rec-544-org,rec-544-dup-0
rec-3475-org,rec-3475-dup-0
rec-3475-org,rec-3475-dup-1
rec-3475-dup-0,rec-3475-dup-1
rec-7115-org,rec-7115-dup-0
rec-7115-org,rec-7115-dup-1
rec-7115-dup-0,rec-7115-dup-1
rec-7954-org,rec-7954-dup-0
rec-7954-org,rec-7954-dup-1
rec-7954-dup-0,rec-7954-dup-1
rec-7954-org,rec-7954-dup-2
rec-7954-dup-0,rec-7954-dup-2
rec-7954-dup-1,rec-7954-dup-2
rec-735-org,rec-735-dup-0
rec-735-org,rec-735-dup-1
rec-735-dup-0,rec-735-dup-1
rec-2466-org,rec-2466-dup-0
rec-2466-org,rec-2466-dup-1
rec-2466-dup-0,rec-2466-dup-1
rec-2466-org,rec-2466-dup-2
rec-2466-dup-0,rec-2466-dup-2
